Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:26:28;127.65;2.89;359.35;369.41;85.62;0.97;-13.40;59.96;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00
1;2024-08-02;11:26:29;127.54;2.89;358.22;368.07;84.57;0.97;-13.30;59.97;0.11;0.11;-0.00
2;2024-08-02;11:26:30;127.54;2.89;358.85;368.89;85.49;0.97;-13.40;59.96;0.23;0.23;-0.00
3;2024-08-02;11:26:31;127.52;2.90;360.19;369.86;84.02;0.97;-13.10;59.96;0.34;0.34;-0.00
4;2024-08-02;11:26:32;127.47;2.89;358.88;368.57;83.93;0.97;-13.20;59.95;0.46;0.46;-0.00
