Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:07:32;126.82;2.91;359.38;368.93;83.37;0.97;-13.10;59.99;15.13;15.14;-0.01
1;2024-08-02;11:07:33;126.56;2.92;359.70;369.41;84.10;0.97;-13.20;59.99;15.24;15.25;-0.01
2;2024-08-02;11:07:34;126.65;2.91;358.96;368.76;84.47;0.97;-13.20;59.98;15.37;15.37;-0.01
3;2024-08-02;11:07:35;126.82;2.92;360.59;370.42;84.80;0.97;-13.20;59.99;15.47;15.48;-0.01
4;2024-08-02;11:07:37;126.81;2.91;359.49;369.22;84.20;0.97;-13.20;59.99;15.60;15.60;-0.01
5;2024-08-02;11:07:38;126.72;2.91;358.88;368.45;83.43;0.97;-13.10;59.98;15.70;15.71;-0.01
6;2024-08-02;11:07:39;126.72;2.91;359.04;368.58;83.33;0.97;-13.10;59.99;15.82;15.83;-0.01
7;2024-08-02;11:07:40;126.75;2.91;359.02;368.55;83.26;0.97;-13.10;59.99;15.93;15.94;-0.01
8;2024-08-02;11:07:41;126.75;2.92;360.01;369.57;83.48;0.97;-13.10;59.98;16.05;16.06;-0.01
9;2024-08-02;11:07:42;126.44;2.93;360.45;370.02;83.62;0.97;-13.10;59.98;16.16;16.17;-0.01
