Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:31:37;127.58;2.88;357.58;367.12;83.13;0.97;-13.10;59.96;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00
1;2024-08-02;11:31:38;127.66;2.87;357.48;366.96;82.88;0.97;-13.10;59.95;0.11;0.11;-0.00
2;2024-08-02;11:31:39;127.70;2.88;358.83;368.24;82.72;0.97;-13.00;59.95;0.23;0.23;-0.00
3;2024-08-02;11:31:41;127.61;2.88;357.71;367.18;82.86;0.97;-13.00;59.96;0.34;0.34;-0.00
4;2024-08-02;11:31:42;127.77;2.87;357.16;366.64;82.86;0.97;-13.10;59.95;0.46;0.46;-0.00
5;2024-08-02;11:31:43;127.65;2.87;357.47;366.94;82.84;0.97;-13.00;59.96;0.58;0.58;-0.00
6;2024-08-02;11:31:44;127.62;2.88;357.80;367.30;82.96;0.97;-13.10;59.96;0.69;0.69;-0.00
7;2024-08-02;11:31:45;127.57;2.88;357.51;367.02;82.97;0.97;-13.10;59.95;0.81;0.81;-0.00
8;2024-08-02;11:31:46;127.37;2.88;357.32;366.78;82.78;0.97;-13.00;59.95;0.91;0.91;-0.00
9;2024-08-02;11:31:48;127.42;2.88;357.47;366.99;83.05;0.97;-13.10;59.95;1.03;1.03;-0.00
