Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:21:27;127.18;2.94;363.25;373.47;86.78;0.97;-13.40;59.95;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00
1;2024-08-02;11:21:28;127.21;2.93;363.17;373.33;86.48;0.97;-13.40;59.95;0.11;0.11;-0.00
2;2024-08-02;11:21:29;127.16;2.94;363.57;373.97;87.59;0.97;-13.50;59.96;0.23;0.23;-0.00
3;2024-08-02;11:21:30;127.18;2.94;363.61;373.75;86.49;0.97;-13.40;59.95;0.34;0.34;-0.00
4;2024-08-02;11:21:31;127.14;2.94;363.14;373.19;86.05;0.97;-13.30;59.95;0.46;0.46;-0.00
5;2024-08-02;11:21:33;127.13;2.93;363.08;373.05;85.67;0.97;-13.30;59.95;0.58;0.58;-0.00
6;2024-08-02;11:21:34;127.16;2.93;363.02;372.94;85.42;0.97;-13.20;59.95;0.70;0.70;-0.00
7;2024-08-02;11:21:35;127.13;2.93;362.57;372.34;84.73;0.97;-13.20;59.94;0.82;0.82;-0.00
8;2024-08-02;11:21:36;127.14;2.94;363.92;373.71;85.01;0.97;-13.10;59.94;0.93;0.93;-0.00
9;2024-08-02;11:21:37;127.18;2.94;363.63;373.42;84.94;0.97;-13.10;59.94;1.05;1.05;-0.00
