Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:18:47;127.03;2.91;361.27;370.14;80.55;0.98;-12.60;59.95;1.16;1.16;-0.00
1;2024-08-02;11:18:50;127.04;2.91;360.21;370.19;85.38;0.97;-13.30;59.94;2.18;2.19;-0.00
2;2024-08-02;11:19:09;127.08;2.97;366.95;377.68;89.38;0.97;-13.70;59.97;3.46;3.46;-0.00
3;2024-08-02;11:19:45;127.08;2.95;364.22;374.44;86.86;0.97;-13.40;59.94;7.10;7.10;-0.00
4;2024-08-02;11:19:50;127.14;2.94;363.54;373.75;86.74;0.97;-13.40;59.92;7.58;7.58;-0.00
