Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:29:22;127.68;2.88;357.80;367.48;83.80;0.97;-13.20;59.95;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00
1;2024-08-02;11:29:24;127.63;2.87;357.12;366.86;83.95;0.97;-13.20;59.95;0.11;0.11;-0.00
2;2024-08-02;11:29:25;127.53;2.88;357.28;367.02;84.01;0.97;-13.20;59.95;0.23;0.23;-0.00
3;2024-08-02;11:29:26;127.62;2.88;357.28;367.04;84.10;0.97;-13.20;59.96;0.34;0.34;-0.00
4;2024-08-02;11:29:27;127.62;2.87;356.36;366.09;83.84;0.97;-13.20;59.95;0.46;0.46;-0.00
5;2024-08-02;11:29:28;127.59;2.87;356.65;366.34;83.71;0.97;-13.20;59.95;0.57;0.57;-0.00
6;2024-08-02;11:29:29;127.61;2.87;357.13;366.80;83.67;0.97;-13.20;59.95;0.68;0.69;-0.00
7;2024-08-02;11:29:31;127.66;2.88;357.43;367.15;83.92;0.97;-13.20;59.94;0.79;0.79;-0.00
8;2024-08-02;11:29:32;127.66;2.88;357.53;367.24;83.86;0.97;-13.20;59.94;0.91;0.91;-0.00
9;2024-08-02;11:29:33;127.67;2.87;356.55;366.28;83.84;0.97;-13.20;59.94;1.02;1.02;-0.00
