Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:09:27;127.01;2.92;360.62;370.58;85.32;0.97;-13.30;59.99;26.61;26.61;-0.01
1;2024-08-02;11:09:28;126.93;2.91;359.41;369.29;84.85;0.97;-13.30;59.99;26.73;26.73;-0.01
2;2024-08-02;11:09:29;127.05;2.91;359.40;369.13;84.22;0.97;-13.20;59.99;26.84;26.84;-0.01
3;2024-08-02;11:09:30;126.82;2.90;358.48;368.05;83.39;0.97;-13.10;60.00;26.95;26.96;-0.01
4;2024-08-02;11:09:31;126.91;2.91;359.46;369.19;84.21;0.97;-13.20;59.99;27.06;27.07;-0.01
