Tuned Frequency,RF Frequency,Time,Num
406200000.0,406199762.7,18/07/2024 07:39:35,0
406200000.0,406199712.8,18/07/2024 07:39:39,1
406200000.0,406199803.5,18/07/2024 07:39:44,2
406200000.0,406199794.6,18/07/2024 07:39:48,3
406200000.0,406199779.6,18/07/2024 07:39:52,4
406200000.0,406199876.5,18/07/2024 07:39:56,5
406200000.0,406199816.2,18/07/2024 07:40:00,6
406200000.0,406199784.2,18/07/2024 07:40:04,7
406200000.0,406199970.7,18/07/2024 07:40:08,8
406200000.0,406199885.8,18/07/2024 07:40:12,9
406200000.0,406199821.4,18/07/2024 07:40:16,10
406200000.0,406199792.3,18/07/2024 07:40:20,11
406200000.0,406199733.7,18/07/2024 07:40:24,12
406200000.0,406199730.8,18/07/2024 07:40:28,13
406200000.0,406199730.5,18/07/2024 07:40:32,14
406200000.0,406199901.1,18/07/2024 07:40:37,15
406200000.0,406199801.4,18/07/2024 07:40:41,16
406200000.0,406199835.4,18/07/2024 07:40:45,17
406200000.0,406199748.9,18/07/2024 07:40:49,18
406200000.0,406199801.8,18/07/2024 07:40:53,19
406200000.0,406199832.5,18/07/2024 07:40:57,20
406200000.0,406199954.3,18/07/2024 07:41:01,21
406200000.0,406199810.5,18/07/2024 07:41:05,22
406200000.0,406199880.9,18/07/2024 07:41:09,23
406200000.0,406199693.1,18/07/2024 07:41:13,24
406200000.0,406199816.0,18/07/2024 07:41:17,25
406200000.0,406199725.9,18/07/2024 07:41:21,26
406200000.0,406199818.5,18/07/2024 07:41:26,27
406200000.0,406199864.3,18/07/2024 07:41:30,28
