Tuned Frequency,RF Frequency,Time,Num
440125000.0,440124867.8,26/07/2024 12:42:51,0
440125000.0,440125007.2,26/07/2024 12:42:55,1
440125000.0,440124907.6,26/07/2024 12:42:59,2
440125000.0,440124979.4,26/07/2024 12:43:03,3
440125000.0,440124816.7,26/07/2024 12:43:07,4
440125000.0,440124927.9,26/07/2024 12:43:11,5
440125000.0,440124823.1,26/07/2024 12:43:15,6
440125000.0,440125017.6,26/07/2024 12:43:19,7
440125000.0,440124825.4,26/07/2024 12:43:23,8
440125000.0,440124898.1,26/07/2024 12:43:27,9
440125000.0,440124909.5,26/07/2024 12:43:31,10
440125000.0,440124831.5,26/07/2024 12:43:36,11
440125000.0,440124999.0,26/07/2024 12:43:40,12
440125000.0,440124895.6,26/07/2024 12:43:44,13
440125000.0,440124996.9,26/07/2024 12:43:48,14
440125000.0,440124818.1,26/07/2024 12:43:52,15
440125000.0,440125033.3,26/07/2024 12:43:56,16
440125000.0,440124901.4,26/07/2024 12:44:00,17
440125000.0,440124994.7,26/07/2024 12:44:04,18
440125000.0,440124874.2,26/07/2024 12:44:08,19
440125000.0,440125078.3,26/07/2024 12:44:12,20
440125000.0,440124994.7,26/07/2024 12:44:16,21
440125000.0,440125028.4,26/07/2024 12:44:20,22
440125000.0,440125086.1,26/07/2024 12:44:24,23
440125000.0,440124977.1,26/07/2024 12:44:29,24
440125000.0,440125095.8,26/07/2024 12:44:33,25
440125000.0,440125019.5,26/07/2024 12:44:37,26
440125000.0,440124822.5,26/07/2024 12:44:41,27
440125000.0,440124930.4,26/07/2024 12:44:45,28
440125000.0,440125067.5,26/07/2024 12:44:49,29
440125000.0,440124955.9,26/07/2024 12:44:53,30
440125000.0,440124994.2,26/07/2024 12:44:57,31
440125000.0,440124911.7,26/07/2024 12:45:01,32
440125000.0,440124962.9,26/07/2024 12:45:05,33
440125000.0,440124824.4,26/07/2024 12:45:09,34
440125000.0,440124998.8,26/07/2024 12:45:13,35
440125000.0,440124905.0,26/07/2024 12:45:18,36
440125000.0,440124909.2,26/07/2024 12:45:22,37
440125000.0,440124823.0,26/07/2024 12:45:26,38
440125000.0,440124998.6,26/07/2024 12:45:30,39
