Tuned Frequency,RF Frequency,Time,Num
469975000.0,469974989.4,26/07/2024 13:27:37,0
469975000.0,469975007.3,26/07/2024 13:27:41,1
469975000.0,469975032.2,26/07/2024 13:27:45,2
469975000.0,469974986.6,26/07/2024 13:27:49,3
469975000.0,469975036.1,26/07/2024 13:27:53,4
469975000.0,469975060.4,26/07/2024 13:27:57,5
469975000.0,469974869.5,26/07/2024 13:28:01,6
469975000.0,469974826.4,26/07/2024 13:28:05,7
469975000.0,469974800.6,26/07/2024 13:28:10,8
469975000.0,469974911.9,26/07/2024 13:28:14,9
469975000.0,469975046.3,26/07/2024 13:28:18,10
469975000.0,469975059.4,26/07/2024 13:28:22,11
469975000.0,469974811.2,26/07/2024 13:28:26,12
469975000.0,469974929.4,26/07/2024 13:28:30,13
469975000.0,469974969.1,26/07/2024 13:28:34,14
469975000.0,469975021.6,26/07/2024 13:28:38,15
469975000.0,469975027.9,26/07/2024 13:28:42,16
469975000.0,469974980.8,26/07/2024 13:28:46,17
469975000.0,469975062.3,26/07/2024 13:28:50,18
469975000.0,469975092.4,26/07/2024 13:28:54,19
469975000.0,469974862.5,26/07/2024 13:28:59,20
469975000.0,469974811.6,26/07/2024 13:29:03,21
469975000.0,469974985.2,26/07/2024 13:29:07,22
469975000.0,469975023.0,26/07/2024 13:29:11,23
469975000.0,469975040.6,26/07/2024 13:29:15,24
469975000.0,469975051.8,26/07/2024 13:29:19,25
469975000.0,469975065.9,26/07/2024 13:29:23,26
469975000.0,469974936.5,26/07/2024 13:29:27,27
469975000.0,469975057.8,26/07/2024 13:29:31,28
469975000.0,469975000.1,26/07/2024 13:29:35,29
