Tuned Frequency,RF Frequency,Time,Num
469975000.0,469974919.5,26/07/2024 13:02:47,0
469975000.0,469974976.6,26/07/2024 13:02:51,1
469975000.0,469975059.1,26/07/2024 13:02:55,2
469975000.0,469974967.4,26/07/2024 13:02:59,3
469975000.0,469975029.9,26/07/2024 13:03:03,4
469975000.0,469975009.8,26/07/2024 13:03:07,5
469975000.0,469974913.3,26/07/2024 13:03:11,6
469975000.0,469974822.0,26/07/2024 13:03:15,7
469975000.0,469974978.0,26/07/2024 13:03:19,8
469975000.0,469975044.5,26/07/2024 13:03:23,9
469975000.0,469975015.3,26/07/2024 13:03:28,10
469975000.0,469975009.9,26/07/2024 13:03:32,11
469975000.0,469975175.8,26/07/2024 13:03:36,12
469975000.0,469975029.6,26/07/2024 13:03:40,13
469975000.0,469974797.3,26/07/2024 13:03:44,14
469975000.0,469974916.9,26/07/2024 13:03:48,15
469975000.0,469975009.0,26/07/2024 13:03:52,16
469975000.0,469975078.1,26/07/2024 13:03:56,17
469975000.0,469975017.0,26/07/2024 13:04:00,18
469975000.0,469974952.2,26/07/2024 13:04:04,19
469975000.0,469974805.3,26/07/2024 13:04:08,20
469975000.0,469974818.5,26/07/2024 13:04:12,21
469975000.0,469975002.4,26/07/2024 13:04:17,22
469975000.0,469975059.7,26/07/2024 13:04:21,23
469975000.0,469975014.2,26/07/2024 13:04:25,24
469975000.0,469975069.5,26/07/2024 13:04:29,25
469975000.0,469974912.5,26/07/2024 13:04:33,26
469975000.0,469974824.5,26/07/2024 13:04:37,27
469975000.0,469974808.8,26/07/2024 13:04:41,28
469975000.0,469974869.4,26/07/2024 13:04:45,29
469975000.0,469974976.1,26/07/2024 13:04:49,30
469975000.0,469975063.9,26/07/2024 13:04:53,31
469975000.0,469974960.5,26/07/2024 13:04:57,32
