Tuned Frequency,RF Frequency,Time,Num
415000000.0,415000047.6,19/07/2024 14:32:59,0
415000000.0,415000004.2,19/07/2024 14:33:03,1
415000000.0,414999957.5,19/07/2024 14:33:07,2
415000000.0,414999950.6,19/07/2024 14:33:11,3
415000000.0,414999966.2,19/07/2024 14:33:15,4
415000000.0,415000099.7,19/07/2024 14:33:19,5
415000000.0,415000004.9,19/07/2024 14:33:23,6
415000000.0,415000035.7,19/07/2024 14:33:27,7
415000000.0,414999971.8,19/07/2024 14:33:31,8
415000000.0,414999994.5,19/07/2024 14:33:35,9
415000000.0,414999877.2,19/07/2024 14:33:39,10
415000000.0,415000038.5,19/07/2024 14:33:43,11
415000000.0,414999945.5,19/07/2024 14:33:48,12
415000000.0,414999794.1,19/07/2024 14:33:52,13
415000000.0,414999985.1,19/07/2024 14:33:56,14
415000000.0,414999935.3,19/07/2024 14:34:00,15
415000000.0,415000005.4,19/07/2024 14:34:04,16
415000000.0,414999899.0,19/07/2024 14:34:08,17
415000000.0,415000030.7,19/07/2024 14:34:12,18
415000000.0,414999982.7,19/07/2024 14:34:16,19
415000000.0,415000122.5,19/07/2024 14:34:20,20
415000000.0,415000012.8,19/07/2024 14:34:24,21
415000000.0,415000097.1,19/07/2024 14:34:28,22
415000000.0,415000034.2,19/07/2024 14:34:32,23
415000000.0,415000031.7,19/07/2024 14:34:36,24
415000000.0,414999997.0,19/07/2024 14:34:40,25
415000000.0,415000012.1,19/07/2024 14:34:44,26
415000000.0,415000063.5,19/07/2024 14:34:49,27
415000000.0,415000021.0,19/07/2024 14:34:53,28
415000000.0,415000119.3,19/07/2024 14:34:57,29
