Tuned Frequency,RF Frequency,Time,Num
469975000.0,469975052.4,26/07/2024 13:13:52,0
469975000.0,469975094.0,26/07/2024 13:13:56,1
469975000.0,469974996.2,26/07/2024 13:14:00,2
469975000.0,469975085.3,26/07/2024 13:14:04,3
469975000.0,469975081.3,26/07/2024 13:14:08,4
469975000.0,469974901.3,26/07/2024 13:14:12,5
469975000.0,469974902.6,26/07/2024 13:14:17,6
469975000.0,469975065.1,26/07/2024 13:14:21,7
469975000.0,469975074.8,26/07/2024 13:14:25,8
469975000.0,469974901.0,26/07/2024 13:14:29,9
469975000.0,469974973.5,26/07/2024 13:14:33,10
469975000.0,469975082.1,26/07/2024 13:14:37,11
469975000.0,469974912.9,26/07/2024 13:14:41,12
469975000.0,469974844.8,26/07/2024 13:14:45,13
469975000.0,469975063.9,26/07/2024 13:14:49,14
469975000.0,469975074.8,26/07/2024 13:14:53,15
469975000.0,469974888.4,26/07/2024 13:14:57,16
469975000.0,469975057.0,26/07/2024 13:15:01,17
469975000.0,469974894.1,26/07/2024 13:15:06,18
469975000.0,469974846.0,26/07/2024 13:15:10,19
469975000.0,469975060.3,26/07/2024 13:15:14,20
469975000.0,469974906.4,26/07/2024 13:15:18,21
469975000.0,469975024.8,26/07/2024 13:15:22,22
469975000.0,469975066.8,26/07/2024 13:15:26,23
469975000.0,469975080.5,26/07/2024 13:15:30,24
469975000.0,469974873.6,26/07/2024 13:15:34,25
469975000.0,469974895.3,26/07/2024 13:15:38,26
469975000.0,469974892.5,26/07/2024 13:15:42,27
469975000.0,469975118.0,26/07/2024 13:15:46,28
469975000.0,469974970.9,26/07/2024 13:15:50,29
469975000.0,469975042.4,26/07/2024 13:15:54,30
