Tuned Frequency,RF Frequency,Time,Num
410025000.0,410024976.6,26/07/2024 13:17:56,0
410025000.0,410024978.5,26/07/2024 13:18:00,1
410025000.0,410024931.6,26/07/2024 13:18:04,2
410025000.0,410024858.7,26/07/2024 13:18:08,3
410025000.0,410025071.7,26/07/2024 13:18:12,4
410025000.0,410025086.9,26/07/2024 13:18:16,5
410025000.0,410025036.6,26/07/2024 13:18:20,6
410025000.0,410025060.5,26/07/2024 13:18:24,7
410025000.0,410025122.3,26/07/2024 13:18:29,8
410025000.0,410025138.1,26/07/2024 13:18:33,9
410025000.0,410024984.3,26/07/2024 13:18:37,10
410025000.0,410024938.1,26/07/2024 13:18:41,11
410025000.0,410025072.3,26/07/2024 13:18:45,12
410025000.0,410025091.3,26/07/2024 13:18:49,13
410025000.0,410025085.2,26/07/2024 13:18:53,14
410025000.0,410025103.1,26/07/2024 13:18:57,15
410025000.0,410025120.7,26/07/2024 13:19:01,16
410025000.0,410025106.8,26/07/2024 13:19:05,17
410025000.0,410025039.1,26/07/2024 13:19:09,18
410025000.0,410025028.5,26/07/2024 13:19:13,19
410025000.0,410025094.7,26/07/2024 13:19:18,20
410025000.0,410025087.6,26/07/2024 13:19:22,21
410025000.0,410025102.4,26/07/2024 13:19:26,22
410025000.0,410025117.6,26/07/2024 13:19:30,23
410025000.0,410025051.3,26/07/2024 13:19:34,24
410025000.0,410025050.9,26/07/2024 13:19:38,25
410025000.0,410025109.9,26/07/2024 13:19:42,26
410025000.0,410025105.4,26/07/2024 13:19:46,27
410025000.0,410025069.4,26/07/2024 13:19:50,28
