Tuned Frequency,RF Frequency,Time,Num
440125000.0,440125088.9,26/07/2024 13:11:04,0
440125000.0,440124813.0,26/07/2024 13:11:08,1
440125000.0,440124821.9,26/07/2024 13:11:12,2
440125000.0,440125030.5,26/07/2024 13:11:16,3
440125000.0,440124875.9,26/07/2024 13:11:20,4
440125000.0,440125084.6,26/07/2024 13:11:24,5
440125000.0,440125110.0,26/07/2024 13:11:28,6
440125000.0,440124925.1,26/07/2024 13:11:32,7
440125000.0,440125002.6,26/07/2024 13:11:36,8
440125000.0,440124903.3,26/07/2024 13:11:40,9
440125000.0,440124836.1,26/07/2024 13:11:45,10
440125000.0,440125093.3,26/07/2024 13:11:49,11
440125000.0,440124997.0,26/07/2024 13:11:53,12
440125000.0,440125043.5,26/07/2024 13:11:57,13
440125000.0,440125081.6,26/07/2024 13:12:01,14
440125000.0,440124834.7,26/07/2024 13:12:05,15
440125000.0,440124832.0,26/07/2024 13:12:09,16
440125000.0,440124983.1,26/07/2024 13:12:13,17
440125000.0,440124873.5,26/07/2024 13:12:17,18
440125000.0,440125098.6,26/07/2024 13:12:21,19
440125000.0,440125051.5,26/07/2024 13:12:25,20
440125000.0,440125012.1,26/07/2024 13:12:29,21
440125000.0,440125094.0,26/07/2024 13:12:34,22
440125000.0,440124972.7,26/07/2024 13:12:38,23
440125000.0,440125027.7,26/07/2024 13:12:42,24
440125000.0,440124844.1,26/07/2024 13:12:46,25
440125000.0,440124854.6,26/07/2024 13:12:50,26
440125000.0,440125069.8,26/07/2024 13:12:54,27
440125000.0,440124976.3,26/07/2024 13:12:58,28
440125000.0,440125064.9,26/07/2024 13:13:02,29
