Tuned Frequency,RF Frequency,Time,Num
440125000.0,440124961.1,26/07/2024 12:59:57,0
440125000.0,440124794.3,26/07/2024 13:00:02,1
440125000.0,440124996.7,26/07/2024 13:00:06,2
440125000.0,440124976.8,26/07/2024 13:00:10,3
440125000.0,440124906.3,26/07/2024 13:00:14,4
440125000.0,440124833.6,26/07/2024 13:00:18,5
440125000.0,440124954.1,26/07/2024 13:00:22,6
440125000.0,440125028.1,26/07/2024 13:00:26,7
440125000.0,440124892.6,26/07/2024 13:00:30,8
440125000.0,440125014.5,26/07/2024 13:00:34,9
440125000.0,440124950.5,26/07/2024 13:00:38,10
440125000.0,440125065.5,26/07/2024 13:00:42,11
440125000.0,440124808.7,26/07/2024 13:00:46,12
440125000.0,440124993.5,26/07/2024 13:00:50,13
440125000.0,440125024.9,26/07/2024 13:00:54,14
440125000.0,440124982.4,26/07/2024 13:00:59,15
440125000.0,440124837.3,26/07/2024 13:01:03,16
440125000.0,440124978.0,26/07/2024 13:01:07,17
440125000.0,440124943.7,26/07/2024 13:01:11,18
440125000.0,440124796.8,26/07/2024 13:01:15,19
440125000.0,440124945.4,26/07/2024 13:01:19,20
440125000.0,440124991.7,26/07/2024 13:01:23,21
440125000.0,440125126.4,26/07/2024 13:01:27,22
440125000.0,440124998.9,26/07/2024 13:01:31,23
440125000.0,440124943.2,26/07/2024 13:01:35,24
440125000.0,440124800.2,26/07/2024 13:01:39,25
440125000.0,440124975.7,26/07/2024 13:01:43,26
440125000.0,440124980.7,26/07/2024 13:01:48,27
440125000.0,440125151.7,26/07/2024 13:01:52,28
440125000.0,440124980.0,26/07/2024 13:01:56,29
