Tuned Frequency,RF Frequency,Time,Num
426200000.0,426199768.2,18/07/2024 07:45:07,0
426200000.0,426199837.8,18/07/2024 07:45:11,1
426200000.0,426199810.5,18/07/2024 07:45:16,2
426200000.0,426199707.3,18/07/2024 07:45:20,3
426200000.0,426199777.6,18/07/2024 07:45:24,4
426200000.0,426199808.1,18/07/2024 07:45:28,5
426200000.0,426199955.8,18/07/2024 07:45:32,6
426200000.0,426199962.1,18/07/2024 07:45:36,7
426200000.0,426199839.2,18/07/2024 07:45:40,8
426200000.0,426199726.7,18/07/2024 07:45:44,9
426200000.0,426199790.0,18/07/2024 07:45:48,10
426200000.0,426199745.5,18/07/2024 07:45:52,11
426200000.0,426199745.5,18/07/2024 07:45:56,12
426200000.0,426199856.6,18/07/2024 07:46:00,13
426200000.0,426199935.2,18/07/2024 07:46:04,14
426200000.0,426199890.8,18/07/2024 07:46:09,15
426200000.0,426199807.6,18/07/2024 07:46:13,16
426200000.0,426199833.0,18/07/2024 07:46:17,17
426200000.0,426199820.1,18/07/2024 07:46:21,18
426200000.0,426199803.0,18/07/2024 07:46:25,19
426200000.0,426199754.4,18/07/2024 07:46:29,20
426200000.0,426199819.0,18/07/2024 07:46:33,21
426200000.0,426199899.7,18/07/2024 07:46:37,22
426200000.0,426199782.8,18/07/2024 07:46:41,23
426200000.0,426199766.5,18/07/2024 07:46:45,24
426200000.0,426199957.4,18/07/2024 07:46:49,25
426200000.0,426199879.4,18/07/2024 07:46:53,26
426200000.0,426199804.9,18/07/2024 07:46:57,27
426200000.0,426199678.3,18/07/2024 07:47:02,28
